Ticker,Name,Sector,Industry,Last Price
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,46.65999984741211
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,46.66999816894531
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,46.72499847412109
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,46.79999923706055
SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,47.025001525878906
CE,Celanese Corporation,Basic Materials,Chemicals,47.31999969482422
CE,Celanese Corporation,Basic Materials,Chemicals,47.345001220703125
AA,Alcoa Corporation,Basic Materials,Aluminum,47.64500045776367
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,48.36000061035156
EQH,"Equitable Holdings, Inc.",Financial Services,Asset Management,48.83000183105469
LUV,Southwest Airlines Co.,Industrials,Airlines,49.02000045776367
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,49.11000061035156
CSX,CSX Corporation,Industrials,Railroads,49.26499938964844
EQT,EQT Corporation,Energy,Oil & Gas E&P,49.3650016784668
CNA,CNA Financial Corporation,Financial Services,Insurance - Property & Casualty,50.36000061035156
DOCU,"DocuSign, Inc.",Technology,Software - Application,50.720001220703125
SLG,SL Green Realty Corp.,Real Estate,REIT - Office,51.49509811401367
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,51.84999847412109
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,52.77000045776367
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,53.02999877929688
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,54.875
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,56.1150016784668
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,56.1349983215332
ENB,Enbridge Inc.,Energy,Oil & Gas Midstream,56.2400016784668
JEF,Jefferies Financial Group Inc.,Financial Services,Capital Markets,56.29999923706055
KBH,KB Home,Consumer Cyclical,Residential Construction,56.69499969482422
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,57.77999877929688
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,57.86000061035156
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,58.06499862670898
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,58.06999969482422
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,58.18000030517578
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,58.56999969482422
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,58.61000061035156
KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,59.16999816894531
SU,Suncor Energy Inc.,Energy,Oil & Gas Integrated,59.959999084472656
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,60.5099983215332
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,60.619998931884766
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,60.69499969482422
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,61.6150016784668
USB,U.S. Bancorp,Financial Services,Banks - Regional,63.0
GEHC,GE HealthCare Technologies Inc.,Healthcare,Medical Devices,63.16999816894531
GEHC,GE HealthCare Technologies Inc.,Healthcare,Medical Devices,63.22499847412109
O,Realty Income Corporation,Real Estate,REIT - Retail,63.63999938964844
CNC,Centene Corporation,Healthcare,Healthcare Plans,67.0199966430664
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,68.02999877929688
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,68.13999938964844
EQR,Equity Residential,Real Estate,REIT - Residential,68.63999938964844
BXP,"BXP, Inc.",Real Estate,REIT - Office,68.8499984741211
FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,71.02999877929688
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,71.06999969482422
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,71.12000274658203
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,71.30000305175781
ZION,"Zions Bancorporation, National Association",Financial Services,Banks - Regional,71.66000366210938
UBER,"Uber Technologies, Inc.",Technology,Software - Application,73.55500030517578
NFLX,"Netflix, Inc.",Communication Services,Entertainment,74.36000061035156
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,74.62000274658203
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,74.70999908447266
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,74.75499725341797
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,74.86000061035156
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,75.12999725341797
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,75.2699966430664
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,75.58999633789062
EIX,Edison International,Utilities,Utilities - Regulated Electric,77.04000091552734
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,77.04000091552734
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,77.62999725341797
MAS,Masco Corporation,Industrials,Building Products & Equipment,78.37000274658203
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,79.04000091552734
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,79.2300033569336
SCI,Service Corporation International,Consumer Cyclical,Personal Services,79.33999633789062
PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,79.54000091552734
GPN,Global Payments Inc.,Industrials,Specialty Business Services,79.55000305175781
BC,Brunswick Corporation,Consumer Cyclical,Recreational Vehicles,79.80000305175781
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,80.0199966430664
REG,Regency Centers Corporation,Real Estate,REIT - Retail,80.12999725341797
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,80.69999694824219
BHE,"Benchmark Electronics, Inc.",Technology,Electronic Components,81.2699966430664
MDT,Medtronic plc,Healthcare,Medical Devices,81.63999938964844
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,81.80999755859375
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,82.30000305175781
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,83.0
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,83.3499984741211
EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,84.0
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,85.01000213623047
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,85.2249984741211
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,85.27999877929688
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,85.5999984741211
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,86.0250015258789
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,86.0999984741211
PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,86.62000274658203
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,87.04000091552734
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,87.56999969482422
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,88.44000244140625
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,89.21499633789062
TXT,Textron Inc.,Industrials,Aerospace & Defense,89.4800033569336
BNS,The Bank of Nova Scotia,Financial Services,Banks - Diversified,89.5199966430664
ABT,Abbott Laboratories,Healthcare,Medical Devices,89.79000091552734
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,90.48999786376952
CCJ,Cameco Corporation,Energy,Uranium,91.1675033569336
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,91.1999969482422
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,91.54000091552734
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,91.91999816894533
MET,"MetLife, Inc.",Financial Services,Insurance - Life,92.61499786376952
TEAM,Atlassian Corporation,Technology,Software - Application,92.77999877929688
SRE,Sempra,Utilities,Utilities - Diversified,93.51000213623048
NEM,Newmont Corporation,Basic Materials,Gold,94.2699966430664
SO,The Southern Company,Utilities,Utilities - Regulated Electric,95.70999908447266
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,96.9000015258789
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,97.04000091552734
DIS,The Walt Disney Company,Communication Services,Entertainment,97.4499969482422
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,97.5
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,98.9250030517578
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,98.94000244140624
INTC,Intel Corporation,Technology,Semiconductors,101.63999938964844
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,103.03500366210938
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,106.81999969482422
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,107.18499755859376
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,107.63500213623048
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,108.52999877929688
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,108.71499633789062
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,109.54000091552734
COP,ConocoPhillips,Energy,Oil & Gas E&P,109.66000366210938
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",110.83000183105467
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,111.16000366210938
PAYX,"Paychex, Inc.",Technology,Software - Application,111.29499816894533
PAYX,"Paychex, Inc.",Technology,Software - Application,111.41000366210938
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,111.62000274658205
CPT,Camden Property Trust,Real Estate,REIT - Residential,112.4499969482422
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,112.73999786376952
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,113.13500213623048
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,114.19000244140624
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,114.31999969482422
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,114.71499633789062
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,114.83499908447266
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,114.9000015258789
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,115.29900360107422
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,116.19499969482422
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,119.2249984741211
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,120.22000122070312
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,120.26000213623048
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,120.6500015258789
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,120.94000244140624
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,121.61000061035156
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,121.83999633789062
AFL,Aflac Incorporated,Financial Services,Insurance - Life,121.88999938964844
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,121.91500091552734
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,122.12999725341795
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,123.4124984741211
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,123.45259857177734
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,123.69000244140624
TD,The Toronto-Dominion Bank,Financial Services,Banks - Diversified,123.72000122070312
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,123.94000244140624
PTC,PTC Inc.,Technology,Software - Application,124.87000274658205
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,125.87000274658205
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,126.22000122070312
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,127.13999938964844
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,127.3949966430664
ATR,"AptarGroup, Inc.",Healthcare,Medical Instruments & Supplies,129.60000610351562
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,130.85850524902344
ORCL,Oracle Corporation,Technology,Software - Infrastructure,131.49000549316406
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,131.67999267578125
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,131.76499938964844
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,131.8300018310547
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,132.0850067138672
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,132.4499969482422
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,132.52000427246094
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,133.5500030517578
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,133.75379943847656
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,133.9801025390625
C,Citigroup Inc.,Financial Services,Banks - Diversified,134.1300048828125
HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance - Diversified,135.26499938964844
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,135.5850067138672
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,135.67999267578125
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,136.02999877929688
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,136.0800018310547
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,136.13999938964844
IT,"Gartner, Inc.",Technology,Information Technology Services,136.13999938964844
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,136.30999755859375
BK,Bank of New York Mellon Corp,Financial Services,Banks - Diversified,137.16
ROG,Rogers Corporation,Technology,Electronic Components,137.9499969482422
ACN,Accenture plc,Technology,Information Technology Services,138.68499755859375
TGT,Target Corporation,Consumer Defensive,Discount Stores,139.55499267578125
ICE,"Intercontinental Exchange, Inc.",Financial Services,Financial Data & Stock Exchanges,140.5449981689453
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,141.15499877929688
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,141.40499877929688
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,141.91000366210938
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,142.22999572753906
XOM,ExxonMobil Holdings Corporation,Energy,Oil & Gas Integrated,142.40499877929688
WDAY,"Workday, Inc.",Technology,Software - Application,142.9199981689453
GWRE,"Guidewire Software, Inc.",Technology,Software - Application,143.1699981689453
OC,Owens Corning,Industrials,Building Products & Equipment,143.47500610351562
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,145.7050018310547
PAYC,"Paycom Software, Inc.",Technology,Software - Application,146.50079345703125
AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services,147.64500427246094
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,147.67999267578125
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,147.81500244140625
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,148.72000122070312
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,149.375
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,150.06500244140625
OKTA,"Okta, Inc.",Technology,Software - Infrastructure,150.25
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,150.97999572753906
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,151.21499633789062
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,154.76499938964844
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,156.38999938964844
APH,Amphenol Corporation,Technology,Electronic Components,156.625
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,157.6699981689453
MMM,3M Company,Industrials,Conglomerates,160.90499877929688
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,164.03500366210938
AMT,American Tower Corporation,Real Estate,REIT - Specialty,168.6300048828125
CRM,"Salesforce, Inc.",Technology,Software - Application,168.97999572753906
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,169.32009887695312
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,170.76499938964844
HSY,The Hershey Company,Consumer Defensive,Confectioners,171.5449981689453
RJF,"Raymond James Financial, Inc.",Financial Services,Asset Management,172.32000732421875
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,172.64500427246094
GLW,Corning Incorporated,Technology,Electronic Components,173.05999755859375
EFX,Equifax Inc.,Industrials,Consulting Services,173.9550018310547
EFX,Equifax Inc.,Industrials,Consulting Services,173.9550018310547
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,176.25999450683594
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,176.2899932861328
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,177.36000061035156
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,178.8300018310547
GL,Globe Life Inc.,Financial Services,Insurance - Life,179.63999938964844
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,180.1649932861328
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,181.83999633789065
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,182.1100006103516
BMO,Bank of Montreal,Financial Services,Banks - Diversified,182.32000732421875
STT,State Street Corporation,Financial Services,Asset Management,185.22000122070312
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,188.0399932861328
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,188.1750030517578
ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,189.5500030517578
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,191.6499938964844
CTAS,Cintas Corporation,Industrials,Specialty Business Services,192.3249969482422
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,193.30999755859372
RTX,RTX Corporation,Industrials,Aerospace & Defense,194.91000366210935
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,194.94000244140625
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,195.97999572753903
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,196.8500061035156
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,198.4199981689453
PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,198.8800048828125
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,199.0800018310547
TEL,TE Connectivity plc,Technology,Electronic Components,200.02999877929688
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,201.33999633789065
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,204.94000244140625
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,206.46499633789065
EXP,Eagle Materials Inc.,Basic Materials,Building Materials,206.4949951171875
ADSK,"Autodesk, Inc.",Technology,Software - Application,208.83999633789065
NVDA,NVIDIA Corporation,Technology,Semiconductors,209.08999633789065
COF,Capital One Financial Corporation,Financial Services,Credit Services,209.2749938964844
NVDA,NVIDIA Corporation,Technology,Semiconductors,209.2899932861328
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,209.57000732421875
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,209.92999267578125
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,211.16000366210935
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,211.1750030517578
STE,STERIS plc,Healthcare,Medical Devices,214.35499572753903
IBM,International Business Machines Corporation,Technology,Information Technology Services,214.7227935791016
RY,Royal Bank of Canada,Financial Services,Banks - Diversified,215.2700042724609
CR,Crane Company,Industrials,Specialty Industrial Machinery,216.83999633789065
BA,The Boeing Company,Industrials,Aerospace & Defense,220.7250061035156
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,221.52999877929688
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,221.92999267578125
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,222.18499755859372
FSLR,"First Solar, Inc.",Technology,Solar,223.27999877929688
HON,Honeywell International Inc.,Industrials,Conglomerates,223.55999755859372
HON,Honeywell International Inc.,Industrials,Conglomerates,223.78500366210935
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,225.6999969482422
MS,Morgan Stanley,Financial Services,Capital Markets,226.46499633789065
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,226.8500061035156
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,228.22999572753903
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,229.6100006103516
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,233.07000732421875
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,233.22000122070312
NUE,Nucor Corporation,Basic Materials,Steel,234.8800048828125
WM,"Waste Management, Inc.",Industrials,Waste Management,234.9199981689453
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,240.6450042724609
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,244.38999938964844
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,246.25
